author,top_flair,total_items,spike_items,spike_share,hebrew_items
zman883,Israeli,89,54,0.607,0
kaiserfrnz,Unflaired/Unknown,81,54,0.667,0
michaelfri,Unflaired/Unknown,76,54,0.711,0
_Its_britneybitch_,Unflaired/Unknown,65,54,0.831,0
Low-Efficiency7660,Unflaired/Unknown,55,54,0.982,0
throwaway250805,Lebanese,54,53,0.981,0
Used_Shelter_7931,Unflaired/Unknown,53,53,1.0,0
randokomando,Unflaired/Unknown,80,52,0.65,0
kartoshkiflitz,Israeli,112,51,0.455,1
Worldly_Funtimes,Diaspora Israeli,60,51,0.85,1
bam1007,Diaspora Jew,139,50,0.36,4
theboomboy,Unflaired/Unknown,132,50,0.379,2
Do1stHarmacist,Diaspora Jew,76,50,0.658,1
seceagle,Israeli,88,49,0.557,2
Mavvet,Israeli,69,49,0.71,1
IceRepresentative906,Unflaired/Unknown,50,49,0.98,1
Shternio,Israeli,127,48,0.378,1
Disastrous_Forces_69,Unflaired/Unknown,48,48,1.0,0
SmartTrash7152,Unflaired/Unknown,210,47,0.224,1
adecentdoughnut,Diaspora Jew,67,47,0.701,0
GrazingGeese,Unflaired/Unknown,74,46,0.622,2
Prudent-Repeat4786,Unflaired/Unknown,51,46,0.902,0
muffinpercent,Israeli,150,45,0.3,1
Fearless-Ad4531,Unflaired/Unknown,148,45,0.304,0
eplurbs,Israeli,67,44,0.657,0
Lucky_Sparks,Israeli,59,44,0.746,0
miriam__bergman,Unflaired/Unknown,51,44,0.863,5
FinePicture3727,Unflaired/Unknown,49,44,0.898,1
Public_King7714,Unflaired/Unknown,44,44,1.0,0
purple_spikey_dragon,Unflaired/Unknown,99,43,0.434,1
rs_5,Unflaired/Unknown,76,43,0.566,2
maimonides24,Unflaired/Unknown,71,43,0.606,0
Special_marshmallow,Unflaired/Unknown,53,43,0.811,1
DresdenFilesBro,Israeli,51,43,0.843,14
SharingDNAResults,Diaspora Jew,46,43,0.935,0
makeyousaywhut,Unflaired/Unknown,55,42,0.764,0
welltechnically7,Unflaired/Unknown,53,42,0.792,0
this__chemist,Lebanese,98,41,0.418,0
Hagrid1994,Israeli,95,41,0.432,3
EreshkigalKish2,Unflaired/Unknown,64,41,0.641,0
naidav24,Israeli,53,41,0.774,2
SpiritMusic,Unflaired/Unknown,49,41,0.837,0
HitchSlap32,Unflaired/Unknown,46,41,0.891,0
its_oliviaaaaa,Israeli,41,41,1.0,0
LLFauntelroy,Israeli,159,40,0.252,1
astartre,Diaspora Lebanese,89,40,0.449,0
1AceHeart,Unflaired/Unknown,49,40,0.816,0
Correct-Praline-2312,Unflaired/Unknown,40,40,1.0,0
Confident-Mud-5218,Unflaired/Unknown,42,39,0.929,0
goodpolarnight,Israeli,47,38,0.809,0
Alon_F,Israeli,40,38,0.95,1
KinoOnTheRoad,Unflaired/Unknown,112,37,0.33,0
deshe,Israeli,81,37,0.457,4
GuavaFuture,Diaspora Lebanese,76,37,0.487,0
theodd2out,Israeli,63,37,0.587,2
Omenforcer69,Unflaired/Unknown,62,37,0.597,0
OkBuyer1271,Unflaired/Unknown,40,37,0.925,0
Parigi7,Unflaired/Unknown,39,37,0.949,0
Square-Sushi,Lebanese,37,37,1.0,0
Bombastic-side-eye0,Unflaired/Unknown,37,37,1.0,0
NitzMitzTrix,Israeli,85,36,0.424,1
Tmuxmuxmux,Unflaired/Unknown,69,36,0.522,0
Sub2Flamezy,Unflaired/Unknown,47,36,0.766,1
Weekly-Space3770,Unflaired/Unknown,36,36,1.0,0
Playful-Leather6064,Unflaired/Unknown,36,36,1.0,0
RoundLifeItIs,Unflaired/Unknown,98,35,0.357,0
Mightyjish,Unflaired/Unknown,40,35,0.875,0
shwel_batata0,Unflaired/Unknown,35,35,1.0,0
ArpanMaster,Unflaired/Unknown,65,34,0.523,3
Special-Key-6578,Unflaired/Unknown,38,34,0.895,0
Boochus,Unflaired/Unknown,34,34,1.0,0
themightycatp00,Unflaired/Unknown,34,34,1.0,6
hindamalka,Israeli,112,33,0.295,10
davidds0,Unflaired/Unknown,70,33,0.471,0
Worknonaffiliated,Unflaired/Unknown,33,33,1.0,0
Cocky-Bastard,Israeli,112,32,0.286,1
waylandsmith,Diaspora Jew,65,32,0.492,0
Low_Party_3163,Diaspora Israeli,62,32,0.516,0
EnvironmentWaste8867,Unflaired/Unknown,44,32,0.727,0
EchoKiloEcho1,Unflaired/Unknown,37,32,0.865,0
Crypto3arz,Unflaired/Unknown,32,32,1.0,0
StillOdd1132,Unflaired/Unknown,32,32,1.0,0
Specific-Contest4516,Unflaired/Unknown,32,32,1.0,0
grapefruitsaladlol29,Iraqi,32,32,1.0,0
thinkingmindin1984,Unflaired/Unknown,112,31,0.277,0
